fold,accuracy,eer,apcer,bpcer
0,0.7248322147651006,0.275293671845396,0.27472527472527475,0.27586206896551724
1,0.6845637583892618,0.31570690291620523,0.313953488372093,0.31746031746031744
2,0.7315436241610739,0.26744851258581237,0.2717391304347826,0.2631578947368421
avg,0.7136465324384788,0.2861496957824712,0.28680596451071677,0.2854934270542256
